date,T (degC)
2020-01-01 00:10:00,0.71
2020-01-01 00:20:00,0.75
2020-01-01 00:30:00,0.73
2020-01-01 00:40:00,0.37
2020-01-01 00:50:00,0.33
2020-01-01 01:00:00,0.34
2020-01-01 01:10:00,0.19
2020-01-01 01:20:00,0.03
2020-01-01 01:30:00,0.11
2020-01-01 01:40:00,0.22
2020-01-01 01:50:00,-0.04
2020-01-01 02:00:00,-0.21
2020-01-01 02:10:00,-0.1
2020-01-01 02:20:00,-0.16
2020-01-01 02:30:00,-0.22
2020-01-01 02:40:00,-0.06
2020-01-01 02:50:00,-0.17
2020-01-01 03:00:00,-0.05
2020-01-01 03:10:00,-0.21
2020-01-01 03:20:00,-0.77
2020-01-01 03:30:00,-0.93
2020-01-01 03:40:00,-0.86
2020-01-01 03:50:00,-0.87
2020-01-01 04:00:00,-1.02
2020-01-01 04:10:00,-1.15
2020-01-01 04:20:00,-1.08
2020-01-01 04:30:00,-1.59
2020-01-01 04:40:00,-1.82
2020-01-01 04:50:00,-1.84
2020-01-01 05:00:00,-1.84
2020-01-01 05:10:00,-2.14
2020-01-01 05:20:00,-2.34
2020-01-01 05:30:00,-2.2
2020-01-01 05:40:00,-2.3
2020-01-01 05:50:00,-2.4
2020-01-01 06:00:00,-2.51
2020-01-01 06:10:00,-2.83
2020-01-01 06:20:00,-2.79
2020-01-01 06:30:00,-2.74
2020-01-01 06:40:00,-2.63
2020-01-01 06:50:00,-2.5
2020-01-01 07:00:00,-2.26
2020-01-01 07:10:00,-2.31
2020-01-01 07:20:00,-2.53
2020-01-01 07:30:00,-2.68
2020-01-01 07:40:00,-2.73
2020-01-01 07:50:00,-2.79
2020-01-01 08:00:00,-2.84
2020-01-01 08:10:00,-2.89
2020-01-01 08:20:00,-3.02
2020-01-01 08:30:00,-2.84
2020-01-01 08:40:00,-2.91
2020-01-01 08:50:00,-3.11
2020-01-01 09:00:00,-3.08
2020-01-01 09:10:00,-3.03
2020-01-01 09:20:00,-2.95
2020-01-01 09:30:00,-3.01
2020-01-01 09:40:00,-2.84
2020-01-01 09:50:00,-2.67
2020-01-01 10:00:00,-1.93
2020-01-01 10:10:00,-1.53
2020-01-01 10:20:00,-1.25
2020-01-01 10:30:00,-1.24
2020-01-01 10:40:00,-1.32
2020-01-01 10:50:00,-1.03
2020-01-01 11:00:00,-1.14
2020-01-01 11:10:00,-0.83
2020-01-01 11:20:00,-0.65
2020-01-01 11:30:00,-0.43
2020-01-01 11:40:00,-0.4
2020-01-01 11:50:00,-0.06
2020-01-01 12:00:00,0.68
2020-01-01 12:10:00,0.93
2020-01-01 12:20:00,1.23
2020-01-01 12:30:00,1.7
2020-01-01 12:40:00,1.98
2020-01-01 12:50:00,2.62
2020-01-01 13:00:00,2.83
2020-01-01 13:10:00,2.87
2020-01-01 13:20:00,3.09
2020-01-01 13:30:00,3.86
2020-01-01 13:40:00,3.84
2020-01-01 13:50:00,4.03
2020-01-01 14:00:00,3.7
2020-01-01 14:10:00,3.45
2020-01-01 14:20:00,3.64
2020-01-01 14:30:00,3.89
2020-01-01 14:40:00,3.87
2020-01-01 14:50:00,4.32
2020-01-01 15:00:00,4.58
2020-01-01 15:10:00,4.2
2020-01-01 15:20:00,4.07
2020-01-01 15:30:00,4.44
2020-01-01 15:40:00,4.5
2020-01-01 15:50:00,4.34
2020-01-01 16:00:00,3.74
2020-01-01 16:10:00,3.23
2020-01-01 16:20:00,2.99
2020-01-01 16:30:00,2.89
2020-01-01 16:40:00,2.77
2020-01-01 16:50:00,2.6
2020-01-01 17:00:00,2.09
2020-01-01 17:10:00,1.63
2020-01-01 17:20:00,1.26
2020-01-01 17:30:00,1.03
2020-01-01 17:40:00,0.99
2020-01-01 17:50:00,0.85
2020-01-01 18:00:00,0.63
2020-01-01 18:10:00,0.35
2020-01-01 18:20:00,0.05
2020-01-01 18:30:00,-0.08
2020-01-01 18:40:00,-0.21
2020-01-01 18:50:00,-0.62
2020-01-01 19:00:00,-1.32
2020-01-01 19:10:00,-1.42
2020-01-01 19:20:00,-1.31
2020-01-01 19:30:00,-1.33
2020-01-01 19:40:00,-1.38
2020-01-01 19:50:00,-1.36
2020-01-01 20:00:00,-1.48
2020-01-01 20:10:00,-1.86
2020-01-01 20:20:00,-2.15
2020-01-01 20:30:00,-2.18
2020-01-01 20:40:00,-2.24
2020-01-01 20:50:00,-2.57
2020-01-01 21:00:00,-2.78
2020-01-01 21:10:00,-2.85
2020-01-01 21:20:00,-2.95
2020-01-01 21:30:00,-3.21
2020-01-01 21:40:00,-3.06
2020-01-01 21:50:00,-3.0
2020-01-01 22:00:00,-3.21
2020-01-01 22:10:00,-3.27
2020-01-01 22:20:00,-3.31
2020-01-01 22:30:00,-3.39
2020-01-01 22:40:00,-3.35
2020-01-01 22:50:00,-3.29
2020-01-01 23:00:00,-3.19
2020-01-01 23:10:00,-3.2
2020-01-01 23:20:00,-3.32
2020-01-01 23:30:00,-3.09
2020-01-01 23:40:00,-2.96
2020-01-01 23:50:00,-3.46
2020-01-02 00:00:00,-3.39
2020-01-02 00:10:00,-3.47
2020-01-02 00:20:00,-3.94
2020-01-02 00:30:00,-3.91
2020-01-02 00:40:00,-3.86
2020-01-02 00:50:00,-3.88
2020-01-02 01:00:00,-4.23
2020-01-02 01:10:00,-4.42
2020-01-02 01:20:00,-4.42
2020-01-02 01:30:00,-4.5
2020-01-02 01:40:00,-4.31
2020-01-02 01:50:00,-4.25
2020-01-02 02:00:00,-4.2
2020-01-02 02:10:00,-3.98
2020-01-02 02:20:00,-4.07
2020-01-02 02:30:00,-4.56
2020-01-02 02:40:00,-4.78
2020-01-02 02:50:00,-4.85
2020-01-02 03:00:00,-4.86
2020-01-02 03:10:00,-4.88
2020-01-02 03:20:00,-4.91
2020-01-02 03:30:00,-4.81
2020-01-02 03:40:00,-5.03
2020-01-02 03:50:00,-5.12
2020-01-02 04:00:00,-4.72
2020-01-02 04:10:00,-4.45
2020-01-02 04:20:00,-4.54
2020-01-02 04:30:00,-5.02
2020-01-02 04:40:00,-5.39
2020-01-02 04:50:00,-5.48
2020-01-02 05:00:00,-5.43
2020-01-02 05:10:00,-4.96
2020-01-02 05:20:00,-4.87
2020-01-02 05:30:00,-5.22
2020-01-02 05:40:00,-5.43
2020-01-02 05:50:00,-5.53
2020-01-02 06:00:00,-5.45
2020-01-02 06:10:00,-5.58
2020-01-02 06:20:00,-5.78
2020-01-02 06:30:00,-5.69
2020-01-02 06:40:00,-5.44
2020-01-02 06:50:00,-5.46
2020-01-02 07:00:00,-5.47
2020-01-02 07:10:00,-5.05
2020-01-02 07:20:00,-4.94
2020-01-02 07:30:00,-4.8
2020-01-02 07:40:00,-4.91
2020-01-02 07:50:00,-5.12
2020-01-02 08:00:00,-5.13
2020-01-02 08:10:00,-5.58
2020-01-02 08:20:00,-5.66
2020-01-02 08:30:00,-5.44
2020-01-02 08:40:00,-4.73
2020-01-02 08:50:00,-4.44
2020-01-02 09:00:00,-4.39
2020-01-02 09:10:00,-4.71
2020-01-02 09:20:00,-4.68
2020-01-02 09:30:00,-4.13
2020-01-02 09:40:00,-4.07
2020-01-02 09:50:00,-4.04
2020-01-02 10:00:00,-4.16
2020-01-02 10:10:00,-3.81
2020-01-02 10:20:00,-3.53
2020-01-02 10:30:00,-3.02
2020-01-02 10:40:00,-2.78
2020-01-02 10:50:00,-1.87
2020-01-02 11:00:00,-1.24
2020-01-02 11:10:00,-0.91
2020-01-02 11:20:00,-0.56
2020-01-02 11:30:00,-0.59
2020-01-02 11:40:00,-0.19
2020-01-02 11:50:00,0.48
2020-01-02 12:00:00,1.06
2020-01-02 12:10:00,1.8
2020-01-02 12:20:00,1.92
2020-01-02 12:30:00,2.72
2020-01-02 12:40:00,3.47
2020-01-02 12:50:00,4.37
2020-01-02 13:00:00,4.98
2020-01-02 13:10:00,5.58
2020-01-02 13:20:00,5.73
2020-01-02 13:30:00,6.06
2020-01-02 13:40:00,6.47
2020-01-02 13:50:00,6.47
2020-01-02 14:00:00,6.22
2020-01-02 14:10:00,5.88
2020-01-02 14:20:00,5.71
2020-01-02 14:30:00,5.91
2020-01-02 14:40:00,5.7
2020-01-02 14:50:00,5.41
2020-01-02 15:00:00,5.66
2020-01-02 15:10:00,5.77
2020-01-02 15:20:00,5.61
2020-01-02 15:30:00,5.47
2020-01-02 15:40:00,5.49
2020-01-02 15:50:00,4.96
2020-01-02 16:00:00,4.28
2020-01-02 16:10:00,3.69
2020-01-02 16:20:00,3.36
2020-01-02 16:30:00,3.25
2020-01-02 16:40:00,3.18
2020-01-02 16:50:00,3.06
2020-01-02 17:00:00,2.88
2020-01-02 17:10:00,2.61
2020-01-02 17:20:00,2.32
2020-01-02 17:30:00,1.91
2020-01-02 17:40:00,1.42
2020-01-02 17:50:00,1.41
2020-01-02 18:00:00,1.41
2020-01-02 18:10:00,1.12
2020-01-02 18:20:00,1.16
2020-01-02 18:30:00,0.91
2020-01-02 18:40:00,0.62
2020-01-02 18:50:00,0.15
2020-01-02 19:00:00,-0.08
2020-01-02 19:10:00,-0.22
2020-01-02 19:20:00,-0.25
2020-01-02 19:30:00,-0.47
2020-01-02 19:40:00,-0.46
2020-01-02 19:50:00,-0.71
2020-01-02 20:00:00,-0.29
2020-01-02 20:10:00,-0.36
2020-01-02 20:20:00,-0.52
2020-01-02 20:30:00,-0.56
2020-01-02 20:40:00,-0.53
2020-01-02 20:50:00,-0.59
2020-01-02 21:00:00,-0.49
2020-01-02 21:10:00,-0.42
2020-01-02 21:20:00,-0.19
2020-01-02 21:30:00,-0.07
2020-01-02 21:40:00,-0.01
2020-01-02 21:50:00,0.06
2020-01-02 22:00:00,0.09
2020-01-02 22:10:00,0.33
2020-01-02 22:20:00,0.47
2020-01-02 22:30:00,0.35
2020-01-02 22:40:00,0.22
2020-01-02 22:50:00,0.26
2020-01-02 23:00:00,0.25
2020-01-02 23:10:00,0.46
2020-01-02 23:20:00,0.74
2020-01-02 23:30:00,0.79
2020-01-02 23:40:00,0.72
2020-01-02 23:50:00,0.75
2020-01-03 00:00:00,0.88
2020-01-03 00:10:00,0.93
2020-01-03 00:20:00,0.88
2020-01-03 00:30:00,0.69
2020-01-03 00:40:00,0.74
2020-01-03 00:50:00,0.92
2020-01-03 01:00:00,1.42
2020-01-03 01:10:00,1.67
2020-01-03 01:20:00,1.9
2020-01-03 01:30:00,1.99
2020-01-03 01:40:00,2.01
2020-01-03 01:50:00,2.08
2020-01-03 02:00:00,1.96
2020-01-03 02:10:00,1.78
2020-01-03 02:20:00,1.63
2020-01-03 02:30:00,1.54
2020-01-03 02:40:00,1.57
2020-01-03 02:50:00,1.74
2020-01-03 03:00:00,1.92
2020-01-03 03:10:00,2.38
2020-01-03 03:20:00,2.65
2020-01-03 03:30:00,2.95
2020-01-03 03:40:00,3.07
2020-01-03 03:50:00,3.25
2020-01-03 04:00:00,3.05
2020-01-03 04:10:00,2.87
2020-01-03 04:20:00,2.84
2020-01-03 04:30:00,2.9
2020-01-03 04:40:00,2.95
2020-01-03 04:50:00,3.14
2020-01-03 05:00:00,3.26
2020-01-03 05:10:00,3.27
2020-01-03 05:20:00,3.27
2020-01-03 05:30:00,3.11
2020-01-03 05:40:00,2.5
2020-01-03 05:50:00,2.32
2020-01-03 06:00:00,2.33
2020-01-03 06:10:00,2.44
2020-01-03 06:20:00,2.57
2020-01-03 06:30:00,2.62
2020-01-03 06:40:00,2.67
2020-01-03 06:50:00,2.65
2020-01-03 07:00:00,2.62
2020-01-03 07:10:00,2.66
2020-01-03 07:20:00,2.71
2020-01-03 07:30:00,2.8
2020-01-03 07:40:00,2.88
2020-01-03 07:50:00,3.09
2020-01-03 08:00:00,3.37
2020-01-03 08:10:00,3.79
